Hierarchy1,Hierarchy2,Test,Statistic,p-value,Significance
Grand_Parent_Folder: OG,Grand_Parent_Folder: downsampling_16,Welch's t-test,19.261453964766492,3.362832716300819e-06,***
Grand_Parent_Folder: OG,Grand_Parent_Folder: downsampling_2,t-test,3.3479446000074584,0.007390886209019135,**
Grand_Parent_Folder: OG,Grand_Parent_Folder: downsampling_4,t-test,5.570464415425764,0.0002372350712153138,***
Grand_Parent_Folder: OG,Grand_Parent_Folder: downsampling_8,t-test,11.972997069067702,2.98395294304869e-07,***
Grand_Parent_Folder: OG,Grand_Parent_Folder: upsampling_2,t-test,0.03534108748274885,0.9725032692872617,
Grand_Parent_Folder: OG,Grand_Parent_Folder: upsampling_4,Kolmogorov-Smirnov,0.3333333333333333,0.9307359307359307,
Grand_Parent_Folder: downsampling_16,Grand_Parent_Folder: downsampling_2,t-test,-17.31686088956512,8.731731358739343e-09,***
Grand_Parent_Folder: downsampling_16,Grand_Parent_Folder: downsampling_4,t-test,-15.482032963690544,2.5789450585811905e-08,***
Grand_Parent_Folder: downsampling_16,Grand_Parent_Folder: downsampling_8,t-test,-11.676139966299576,3.777021032942516e-07,***
Grand_Parent_Folder: downsampling_16,Grand_Parent_Folder: upsampling_2,t-test,-19.10514351637791,3.355743699915962e-09,***
Grand_Parent_Folder: downsampling_16,Grand_Parent_Folder: upsampling_4,Kolmogorov-Smirnov,1.0,0.0021645021645021645,***
Grand_Parent_Folder: downsampling_2,Grand_Parent_Folder: downsampling_4,t-test,2.4545965402753196,0.033989358647577385,*
Grand_Parent_Folder: downsampling_2,Grand_Parent_Folder: downsampling_8,t-test,8.495685567502562,6.928426622748354e-06,***
Grand_Parent_Folder: downsampling_2,Grand_Parent_Folder: upsampling_2,t-test,-3.167275463041042,0.010033988351041787,*
Grand_Parent_Folder: downsampling_2,Grand_Parent_Folder: upsampling_4,Kolmogorov-Smirnov,0.5,0.474025974025974,
Grand_Parent_Folder: downsampling_4,Grand_Parent_Folder: downsampling_8,t-test,5.689723256454936,0.0002011304439682236,***
Grand_Parent_Folder: downsampling_4,Grand_Parent_Folder: upsampling_2,t-test,-5.37164683905481,0.0003137920340395086,***
Grand_Parent_Folder: downsampling_4,Grand_Parent_Folder: upsampling_4,Kolmogorov-Smirnov,0.8333333333333334,0.025974025974025972,*
Grand_Parent_Folder: downsampling_8,Grand_Parent_Folder: upsampling_2,t-test,-11.648114523796979,3.8630488662436657e-07,***
Grand_Parent_Folder: downsampling_8,Grand_Parent_Folder: upsampling_4,Kolmogorov-Smirnov,1.0,0.0021645021645021645,***
Grand_Parent_Folder: upsampling_2,Grand_Parent_Folder: upsampling_4,Kolmogorov-Smirnov,0.3333333333333333,0.9307359307359307,
